,Archipelago,Area (sq km),Common Name,Contact Name,Contact Organization,Country,Data Quality,Eradication End Date,Eradication ID,Eradication Start Date,Human Population,Island Code,Island Name,Latitude,Longitude,OBJECTID,Organization_Website,Primary Baiting Method,Primary Eradication Method,Primary Toxicant,Region,Scientific Name,Secondary Baiting Method,Secondary Eradication Method,Secondary Toxicant,Status (Eradication),Tertiary Eradication Method,Type (Animal),Type (Eradication),Unnamed: 30,Year of Introduction
49,Manabi Region,5.5,Domestic Cat,Island Conservation,Island Conservation,Ecuador,Good,2009,224,2009,10-Jan,72160,Plata,-1.273333,-81.0625,183,www.islandconservation.org,Hand Broadcast,Trapping,Brodifacoum,Pacific Ocean - North East,Felis catus,,Toxicant,,Successful,,Cat,Whole Island,,null
64,Manabi Region,5.5,Domestic Cat,Island Conservation,Island Conservation,Ecuador,Good,2007,298,2006,10-Jan,72160,Plata,-1.273333,-81.0625,238,www.islandconservation.org,,Trapping,,Pacific Ocean - North East,Felis catus,,,,Failed,,Cat,Whole Island,,null
65,Greater Antilles (Puerto Rican Islands),1.16,Domestic Cat,Evans; Mike,null,Puerto Rico,Satisfactory,1987,306,1985,None,159740,Desecheo,18.382055,-67.479597,245,null,,Trapping,,Caribbean,Felis catus,,,,Successful,,Cat,Whole Island,,null
66,Hyeres Islands,6.9974,Domestic Cat,null,null,France,Good,2006,308,2004,11 - 100,70240,Port-Cros,43.008736,6.39375,246,null,,Trapping,,Mediterranean,Felis catus,,,,Successful,,Cat,Whole Island,,1800
71,Gulf of California,38.9,Domestic Cat,Aguirre; Alfonso,Groupo de Ecologia y Conservacion de Islas,Mexico,Satisfactory,2004,378,2000,None,28790,Santa Catalina,25.643722,-110.816583,296,null,,Trapping,,Pacific Ocean - North East,Felis catus,,Hunting ,,Successful,,Cat,Whole Island,,null
72,Fiji (Tailevu Province),0.6,Domestic Cat,null,null,Fiji,Poor,2006,385,2006,11 - 100,247820,Viwa (Verata),-17.940444,178.623736,300,null,,Trapping,Brodifacoum,Pacific Ocean - South West,Felis catus,,Toxicant,,Unknown,,Cat,Whole Island,,null
73,Western Australia,19.5487,Domestic Cat,Burbidge; A.A.,Department of Conservation and Land Management; Aus,Australia,Good,2002,394,2001,101 - 1000,38050,Rottnest,-32.004181,115.497513,307,null,,Trapping,,Indian Ocean - East,Felis catus,,,,Successful,,Cat,Whole Island,,null
74,Cocos (Keeling) Islands,7.7927,Domestic Cat,null,null,Cocos (Keeling) Islands,Poor,null,395,null,101 - 1000,65920,West,-12.171694,96.830806,308,null,,Trapping,,Indian Ocean - East,Felis catus,,Hunting ,,Successful,,Cat,Whole Island,,null
83,Cocos (Keeling) Islands,1,Domestic Cat,null,null,Cocos (Keeling) Islands,Good,2000,505,2000,101 - 1000,220330,Home,-12.11543,96.896666,394,null,,Trapping,,Indian Ocean - East,Felis catus,,Hunting ,,Incomplete,Other,Cat,Whole Island,,null
84,Channel Islands,61.4765,Domestic Cat,Island Conservation,Island Conservation,United States,Good,2011,507,2009,Unknown,19120,San Nicolas,33.250305,-119.505014,395,www.islandconservation.org,,Trapping,,Pacific Ocean - North East,Felis catus,,Hunting ,,Successful,,Cat,Whole Island,,null
